"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 19:20:34 GMT 2022","Thu Jun 16 19:20:35 GMT 2022","1520","","SignInTest","","SignInTest","SignInWithDuplicateData","SignInWithDuplicateData()",""
"passed","Thu Jun 16 19:20:55 GMT 2022","Thu Jun 16 19:21:01 GMT 2022","5957","","LoginTest","","LoginTest","MissingDetailsLogin","MissingDetailsLogin()",""
"passed","Thu Jun 16 19:20:50 GMT 2022","Thu Jun 16 19:20:55 GMT 2022","5536","","LoginTest","","LoginTest","validLogin","validLogin()",""
"passed","Thu Jun 16 19:20:35 GMT 2022","Thu Jun 16 19:20:36 GMT 2022","787","","SignInTest","","SignInTest","acceptTermsAndConditions","acceptTermsAndConditions()",""
"passed","Thu Jun 16 19:20:15 GMT 2022","Thu Jun 16 19:20:21 GMT 2022","5709","","BlogTest","","BlogTest","goToBlog","goToBlog()",""
"passed","Thu Jun 16 19:20:21 GMT 2022","Thu Jun 16 19:20:23 GMT 2022","1446","","SignInTest","","SignInTest","SignInWithWrongData","SignInWithWrongData()",""
"passed","Thu Jun 16 19:20:24 GMT 2022","Thu Jun 16 19:20:32 GMT 2022","8544","","SignInTest","","SignInTest","SignInTest","SignInTest()",""
"passed","Thu Jun 16 19:20:36 GMT 2022","Thu Jun 16 19:20:41 GMT 2022","5109","","LoginTest","","LoginTest","inValidLogin","inValidLogin()",""
"passed","Thu Jun 16 19:20:41 GMT 2022","Thu Jun 16 19:20:50 GMT 2022","8541","","LoginTest","","LoginTest","logout","logout()",""
"passed","Thu Jun 16 19:20:32 GMT 2022","Thu Jun 16 19:20:34 GMT 2022","1336","","SignInTest","","SignInTest","SignInWithoutData","SignInWithoutData()",""
"passed","Thu Jun 16 19:20:23 GMT 2022","Thu Jun 16 19:20:24 GMT 2022","958","","SignInTest","","SignInTest","closeTermsAndCondtitons","closeTermsAndCondtitons()",""
